aldur,kjordaemi,n,p
18-29,Norðausturkjördæmi,4146,0.08590253605171556
30-39,Norðausturkjördæmi,3487,0.07224846676611968
40+,Norðausturkjördæmi,16499,0.34184899718216477
18-19,Norðausturkjördæmi,704,0.014586441239847505
20-24,Norðausturkjördæmi,1757,0.03640394496933532
25-29,Norðausturkjördæmi,1685,0.034912149842532735
30-34,Norðausturkjördæmi,1790,0.03708768440245318
35-39,Norðausturkjördæmi,1697,0.0351607823636665
40-44,Norðausturkjördæmi,1737,0.03598955743411238
45-49,Norðausturkjördæmi,1929,0.03996767777225261
50-54,Norðausturkjördæmi,2069,0.04286839051881319
55-59,Norðausturkjördæmi,2333,0.048338305983756005
60-64,Norðausturkjördæmi,2235,0.0463078070611636
65-69,Norðausturkjördæmi,1955,0.040506381568042434
70-74,Norðausturkjördæmi,1686,0.03493286921929389
75-79,Norðausturkjördæmi,1261,0.026127134095806397
80+,Norðausturkjördæmi,1294,0.02681087352892425
18-29,Norðvesturkjördæmi,3231,0.08732432432432433
30-39,Norðvesturkjördæmi,2584,0.06983783783783784
40+,Norðvesturkjördæmi,12685,0.34283783783783783
18-19,Norðvesturkjördæmi,557,0.015054054054054054
20-24,Norðvesturkjördæmi,1359,0.03672972972972973
25-29,Norðvesturkjördæmi,1315,0.03554054054054054
30-34,Norðvesturkjördæmi,1271,0.03435135135135135
35-39,Norðvesturkjördæmi,1313,0.03548648648648649
40-44,Norðvesturkjördæmi,1359,0.03672972972972973
45-49,Norðvesturkjördæmi,1421,0.03840540540540541
50-54,Norðvesturkjördæmi,1420,0.038378378378378375
55-59,Norðvesturkjördæmi,1718,0.04643243243243243
60-64,Norðvesturkjördæmi,1777,0.048027027027027026
65-69,Norðvesturkjördæmi,1671,0.045162162162162164
70-74,Norðvesturkjördæmi,1269,0.034297297297297295
75-79,Norðvesturkjördæmi,926,0.025027027027027027
80+,Norðvesturkjördæmi,1124,0.030378378378378378
18-29,Reykjavíkurkjördæmi norður,6740,0.09471879479468226
30-39,Reykjavíkurkjördæmi norður,6305,0.08860563815734
40+,Reykjavíkurkjördæmi norður,22534,0.3166755670479777
18-19,Reykjavíkurkjördæmi norður,879,0.012352792377526069
20-24,Reykjavíkurkjördæmi norður,2523,0.035456308496585064
25-29,Reykjavíkurkjördæmi norður,3338,0.04690969392057112
30-34,Reykjavíkurkjördæmi norður,3399,0.04776694117316394
35-39,Reykjavíkurkjördæmi norður,2906,0.04083869698417606
40-44,Reykjavíkurkjördæmi norður,3021,0.042454818853818264
45-49,Reykjavíkurkjördæmi norður,2850,0.040051715899828554
50-54,Reykjavíkurkjördæmi norður,2713,0.03812642288990697
55-59,Reykjavíkurkjördæmi norður,3184,0.04474549593861547
60-64,Reykjavíkurkjördæmi norður,3079,0.043269906405463895
65-69,Reykjavíkurkjördæmi norður,2640,0.03710053683352539
70-74,Reykjavíkurkjördæmi norður,1953,0.027445965316619355
75-79,Reykjavíkurkjördæmi norður,1369,0.019238876865566766
80+,Reykjavíkurkjördæmi norður,1725,0.02424182804463307
18-29,Reykjavíkurkjördæmi suður,6904,0.0954698821837491
30-39,Reykjavíkurkjördæmi suður,5929,0.08198738868300239
40+,Reykjavíkurkjördæmi suður,23325,0.3225427291332485
18-19,Reykjavíkurkjördæmi suður,1069,0.014782344156203329
20-24,Reykjavíkurkjördæmi suður,2721,0.03762652801593008
25-29,Reykjavíkurkjördæmi suður,3114,0.043061010011615684
30-34,Reykjavíkurkjördæmi suður,3062,0.04234194369157586
35-39,Reykjavíkurkjördæmi suður,2867,0.03964544499142652
40-44,Reykjavíkurkjördæmi suður,3047,0.0421345207146413
45-49,Reykjavíkurkjördæmi suður,3012,0.041650533768460646
50-54,Reykjavíkurkjördæmi suður,2807,0.03881575308368826
55-59,Reykjavíkurkjördæmi suður,3015,0.04169201836384756
60-64,Reykjavíkurkjördæmi suður,2982,0.04123568781459151
65-69,Reykjavíkurkjördæmi suður,2676,0.03700425908512639
70-74,Reykjavíkurkjördæmi suður,2437,0.03369931965263565
75-79,Reykjavíkurkjördæmi suður,1581,0.021862381768903146
80+,Reykjavíkurkjördæmi suður,1768,0.02444825488135406
18-29,Suðurkjördæmi,5336,0.08777181958745929
30-39,Suðurkjördæmi,4503,0.07406980952067638
40+,Suðurkjördæmi,20558,0.33815837089186435
18-19,Suðurkjördæmi,905,0.014886337467513241
20-24,Suðurkjördæmi,2152,0.035398230088495575
25-29,Suðurkjördæmi,2279,0.03748725203145047
30-34,Suðurkjördæmi,2252,0.037043129256176595
35-39,Suðurkjördæmi,2251,0.03702668026449979
40-44,Suðurkjördæmi,2345,0.03857288548211995
45-49,Suðurkjördæmi,2400,0.03947758002434451
50-54,Suðurkjördæmi,2486,0.040892193308550186
55-59,Suðurkjördæmi,2934,0.04826134157976116
60-64,Suðurkjördæmi,2793,0.04594203375333092
65-69,Suðurkjördæmi,2593,0.04265223541796888
70-74,Suðurkjördæmi,2033,0.03344080007895516
75-79,Suðurkjördæmi,1491,0.024525446590124025
80+,Suðurkjördæmi,1483,0.024393854656709544
18-29,Suðvesturkjördæmi,10807,0.09034593455834407
30-39,Suðvesturkjördæmi,9511,0.07951144476583792
40+,Suðvesturkjördæmi,39491,0.330142620675818
18-19,Suðvesturkjördæmi,1887,0.015775217776588808
20-24,Suðvesturkjördæmi,4420,0.03695096055777559
25-29,Suðvesturkjördæmi,4500,0.037619756223979665
30-34,Suðvesturkjördæmi,4802,0.040144459863900084
35-39,Suðvesturkjördæmi,4709,0.03936698490193784
40-44,Suðvesturkjördæmi,5039,0.04212576702502968
45-49,Suðvesturkjördæmi,5619,0.04697453560500928
50-54,Suðvesturkjördæmi,5010,0.041883328596030694
55-59,Suðvesturkjördæmi,5198,0.043454998411610296
60-64,Suðvesturkjördæmi,5035,0.04209232724171948
65-69,Suðvesturkjördæmi,4396,0.03675032185791436
70-74,Suðvesturkjördæmi,3841,0.03211055192362353
75-79,Suðvesturkjördæmi,2603,0.02176093898911535
80+,Suðvesturkjördæmi,2750,0.022989851025765354
