date,pollster,election_year,party_letter,party_name,pct,seats,n,source_url,notes
2021-11-30,Maskína,2022,P,Píratar,9.9,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2021-11-30,Maskína,2022,V,Vinstri græn,9.1,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2021-11-30,Maskína,2022,J,Sósíalistaflokkur,6.1,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2021-11-30,Maskína,2022,C,Viðreisn,6.0,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2021-11-30,Maskína,2022,F,Flokkur fólksins,3.9,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2021-11-30,Maskína,2022,B,Framsóknarflokkur,3.7,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2021-11-30,Maskína,2022,M,Miðflokkur,2.4,,900,from-feb22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,S,Samfylking,27.9,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,D,Sjálfstæðisflokkur,21.9,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,P,Píratar,14.8,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,V,Vinstri græn,8.5,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,B,Framsóknarflokkur,6.5,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,C,Viðreisn,5.9,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,J,Sósíalistaflokkur,5.5,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,F,Flokkur fólksins,5.4,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2022-02-14,Maskína,2022,M,Miðflokkur,3.5,,900,from-mar22-comparison-chart,Borgarviti-extracted-from-chart
2018-05-14,Gallup,2018,D,Sjálfstæðisflokkur,24.8,7,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,Fielded ~2-14 May for VB
2018-05-14,Gallup,2018,S,Samfylking,31.2,9,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,P,Píratar,11.5,3,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,V,Vinstri græn,6.7,1,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,C,Viðreisn,6.6,1,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,M,Miðflokkur,4.2,1,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,J,Sósíalistaflokkur,3.8,1,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,B,Framsóknarflokkur,3.3,0,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,F,Flokkur fólksins,2.9,0,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,O,Kvennahreyfingin,2.0,0,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,O,Borgin okkar,1.4,0,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,O,Karlalistinn,1.1,0,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-14,Gallup,2018,O,Höfuðborgarlistinn,0.5,0,731,https://vb.is/frettir/meirihlutanum-ekki-haggad/,
2018-05-25,Gallup,2018,D,Sjálfstæðisflokkur,28.3,8,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,Fielded 22-25 May for RÚV; n adjusted for those who named a party
2018-05-25,Gallup,2018,S,Samfylking,26.0,7,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,P,Píratar,11.0,3,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,C,Viðreisn,8.7,2,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,V,Vinstri græn,6.2,1,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,M,Miðflokkur,5.8,1,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,F,Flokkur fólksins,3.8,1,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,J,Sósíalistaflokkur,3.4,0,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,B,Framsóknarflokkur,2.9,0,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,
2018-05-25,Gallup,2018,O,Aðrir flokkar,3.8,0,954,https://www.mbl.is/frettir/kosning/2018/05/25/sjalfstaedisflokkurinn_staerstur_i_borginni/,7 minor lists combined; source explicit 3.8%
2018-04-04,Gallup,2018,D,Sjálfstæðisflokkur,26.3,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,From comparison chart in May 25 PDF; n estimated
2018-04-04,Gallup,2018,S,Samfylking,31.5,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,P,Píratar,11.0,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,V,Vinstri græn,10.5,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,C,Viðreisn,7.7,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,M,Miðflokkur,6.1,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,F,Flokkur fólksins,3.2,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,B,Framsóknarflokkur,3.1,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,J,Sósíalistaflokkur,0.4,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-04-04,Gallup,2018,O,Aðrir flokkar,0.7,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,Kvennahreyfingin etc.
2018-05-03,Gallup,2018,D,Sjálfstæðisflokkur,25.9,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,From comparison chart in May 25 PDF; n estimated
2018-05-03,Gallup,2018,S,Samfylking,27.8,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,P,Píratar,14.4,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,V,Vinstri græn,9.3,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,C,Viðreisn,8.1,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,M,Miðflokkur,4.8,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,F,Flokkur fólksins,3.4,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,J,Sósíalistaflokkur,2.1,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,B,Framsóknarflokkur,1.9,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2018-05-03,Gallup,2018,O,Aðrir flokkar,2.3,,1000,https://cdnx.gallup.is/media/documents/Puls_Fylgi_flokka_Reykjavik_web.pdf,
2025-01-31,Gallup,2026,D,Sjálfstæðisflokkur,31.2,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,Fielded 13-31 Jan 2025 for VB; n estimated
2025-01-31,Gallup,2026,S,Samfylking,22.9,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,C,Viðreisn,11.0,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,J,Sósíalistaflokkur,10.0,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,M,Miðflokkur,6.6,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,F,Flokkur fólksins,6.5,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,P,Píratar,4.4,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,V,Vinstri græn,4.0,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-01-31,Gallup,2026,B,Framsóknarflokkur,3.3,,1200,https://vb.is/frettir/gallup-sjalfstaedisflokkurinn-eykur-fylgid-um-101/,
2025-03-30,Gallup,2026,D,Sjálfstæðisflokkur,33.9,9,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,Fielded 1-30 Mar 2025 for VB; úrtak 3598; svarhlutfall 47.7%
2025-03-30,Gallup,2026,S,Samfylking,20.0,5,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,J,Sósíalistaflokkur,13.1,3,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,C,Viðreisn,9.5,2,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,P,Píratar,5.5,1,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,M,Miðflokkur,5.1,1,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,B,Framsóknarflokkur,4.7,1,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,V,Vinstri græn,4.6,1,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-03-30,Gallup,2026,F,Flokkur fólksins,3.6,0,1716,https://www.mbl.is/frettir/innlent/2025/04/01/talsverd_tidindi_i_konnun_gallup_i_reykjavik/,
2025-05-31,Gallup,2026,D,Sjálfstæðisflokkur,31.1,8,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,Fielded 1-31 May 2025 for VB; úrtak 4263; svarhlutfall 43.4%
2025-05-31,Gallup,2026,S,Samfylking,26.0,7,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,C,Viðreisn,10.6,2,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,J,Sósíalistaflokkur,9.1,2,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,P,Píratar,5.7,1,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,M,Miðflokkur,5.4,1,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,V,Vinstri græn,4.5,1,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,F,Flokkur fólksins,4.5,1,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-05-31,Gallup,2026,B,Framsóknarflokkur,3.1,0,1850,https://www.mbl.is/frettir/innlent/2025/06/18/framsokn_missir_alla_fjora_i_borginni/,
2025-10-12,Gallup,2026,D,Sjálfstæðisflokkur,32.1,9,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,Fielded 15 Sept - 12 Oct 2025 for VB; úrtak 3220; svarhlutfall 48%
2025-10-12,Gallup,2026,S,Samfylking,28.3,7,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,C,Viðreisn,10.1,2,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,P,Píratar,6.8,1,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,M,Miðflokkur,5.9,1,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,J,Sósíalistaflokkur,4.9,1,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,B,Framsóknarflokkur,4.3,1,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,F,Flokkur fólksins,3.6,1,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,V,Vinstri græn,3.3,0,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-10-12,Gallup,2026,O,Aðrir,0.7,0,1545,https://vb.is/frettir/meirihlutinn-fallinn-/,
2025-12-31,Gallup,2026,D,Sjálfstæðisflokkur,35.5,9,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,"Gallup for Viðskiptablaðið; fielded Dec 2025; first reported by Vísir, then mbl.is on 3 Jan 2026; n estimated"
2025-12-31,Gallup,2026,S,Samfylking,23.3,6,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,C,Viðreisn,9.7,2,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,M,Miðflokkur,8.8,2,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,J,Sósíalistaflokkur,6.0,1,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,F,Flokkur fólksins,5.0,1,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,P,Píratar,4.4,1,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,V,Vinstri græn,3.8,1,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,B,Framsóknarflokkur,2.5,0,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,
2025-12-31,Gallup,2026,O,Aðrir flokkar,1.0,0,1200,https://www.mbl.is/frettir/innlent/2026/01/03/sjalfstaedisflokkurinn_a_storsiglingu/,Sum-to-100 residual
2026-01-31,Gallup,2026,D,Sjálfstæðisflokkur,32.7,8,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,"Fielded 5-31 Jan 2026 for VB; published Feb 3 (VB/Vísir), Feb 4 (RÚV); n estimated"
2026-01-31,Gallup,2026,S,Samfylking,29.4,8,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,C,Viðreisn,10.0,2,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,M,Miðflokkur,9.3,2,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,P,Píratar,5.0,1,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,J,Sósíalistaflokkur,4.1,1,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,V,Vinstri græn,3.7,1,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,B,Framsóknarflokkur,2.5,0,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,F,Flokkur fólksins,2.1,0,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-01-31,Gallup,2026,O,Vor til vinstri,1.2,0,1200,https://www.ruv.is/frettir/innlent/2026-02-04-meirihlutinn-i-borginni-fallinn-samkvaemt-nyrri-konnun-466084,
2026-02-28,Gallup,2026,D,Sjálfstæðisflokkur,26.4,7,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,Fielded 1-28 Feb 2026 for VB; n estimated
2026-02-28,Gallup,2026,S,Samfylking,26.4,7,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,M,Miðflokkur,11.3,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,C,Viðreisn,10.7,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,V,Vinstri græn,8.7,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,Vinstrið (VG + Vor til vinstri)
2026-02-28,Gallup,2026,B,Framsóknarflokkur,4.6,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,F,Flokkur fólksins,4.0,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,P,Píratar,3.7,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,J,Sósíalistaflokkur,3.1,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
2026-02-28,Gallup,2026,O,Okkar borg,1.2,,1200,https://www.ruv.is/frettir/innlent/2026-03-03-hnifjafnt-milli-sjalfstaedisflokks-og-samfylkingar-i-borginni-468635,
